Category,State/UT,Punishment for Rape (Sec.376 & 376(I),Rape in Custody (Section 376(2)) - Rape in Custody (Total),Rape in Custody (Section 376(2)) - By Police Personnel (Sec.376(2) (a),Rape in Custody (Section 376(2)) - By Public Servant (Sec.376(2) (b),Rape in Custody (Section 376(2)) - By Member of Armed Forces (Sec.376(2) (c),Rape in Custody (Section 376(2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d),Rape in Custody (Section 376(2)) - By Management/ Staff of Hospital (Sec.376(2) (e),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total),Other Than Custodial Rape (Section 376(2)) - By Relative/Guardian/Teacher/person in position of trust (Sec.376(2) (f),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2) (h),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes,Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)),Punishment for causing Death (Sec.376(A)),By Separated husband (Sec.376 (B)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)),By Person in Authority (Sec.376 (C)),Gang Rape (Sec.376(D)),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DB)),Punishment for Repeat offenders (Sec.376(E)),Rape (Total) (Sec.376 IPC)
State,Andhra Pradesh,758,1,0,0,1,0,0,283,17,0,101,12,2,8,0,98,45,15,0,0,10,1,9,2,7,0,1086
State,Arunachal Pradesh,46,0,0,0,0,0,0,12,4,0,4,0,0,2,0,2,0,0,0,1,0,0,4,0,0,0,63
State,Assam,1599,11,0,0,0,11,0,104,31,0,1,21,36,1,0,0,14,0,1,1,1,30,25,0,1,0,1773
State,Bihar,700,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,730
State,Chhattisgarh,546,1,1,0,0,0,0,469,267,2,77,35,1,4,3,31,49,0,0,0,3,0,15,0,2,0,1036
State,Goa,54,1,0,0,0,0,1,14,6,0,7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,72
State,Gujarat,429,0,0,0,0,0,0,85,14,1,0,0,1,4,2,62,1,0,0,0,0,0,14,0,0,0,528
State,Haryana,900,2,0,1,0,0,1,363,11,4,0,0,0,0,0,308,40,0,2,4,0,1,159,0,0,49,1480
State,Himachal Pradesh,302,0,0,0,0,0,0,50,26,0,23,0,0,0,0,1,0,2,0,0,1,0,4,0,0,0,359
State,Jammu & Kashmir,177,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
State,Jharkhand,1253,0,0,0,0,0,0,93,0,0,31,0,0,0,0,25,37,11,0,0,4,2,52,1,0,0,1416
State,Karnataka,451,0,0,0,0,0,0,46,8,0,0,0,0,5,1,13,19,1,0,0,0,0,7,0,0,0,505
State,Kerala,1043,0,0,0,0,0,0,854,204,1,203,19,5,17,4,318,83,35,1,0,71,2,7,3,6,1,2023
State,Madhya Pradesh,1007,6,3,1,0,1,1,1232,140,11,73,26,12,17,11,748,194,6,0,6,10,3,162,1,0,52,2485
State,Maharashtra,1564,0,0,0,0,0,0,639,89,6,54,23,3,29,3,343,89,4,10,7,8,2,63,0,1,1,2299
State,Manipur,26,0,0,0,0,0,0,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
State,Meghalaya,68,0,0,0,0,0,0,28,2,0,20,0,1,2,2,0,1,0,0,1,0,0,5,0,0,0,102
State,Mizoram,15,0,0,0,0,0,0,7,3,0,0,0,1,1,0,0,2,5,0,0,13,0,1,0,1,0,42
State,Nagaland,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8
State,Odisha,785,0,0,0,0,0,0,517,424,0,9,1,1,0,0,72,10,37,11,3,6,1,22,0,0,0,1382
State,Punjab,900,0,0,0,0,0,0,52,8,0,22,0,0,3,0,5,14,9,0,0,8,0,29,2,1,1,1002
State,Rajasthan,3826,2,1,1,0,0,0,1205,481,3,124,216,118,2,6,160,95,14,0,5,11,1,902,31,0,0,5997
State,Sikkim,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
State,Tamil Nadu,334,0,0,0,0,0,0,18,14,0,0,0,1,3,0,0,0,0,0,1,7,0,1,0,1,0,362
State,Telangana,613,1,0,0,0,0,1,243,9,6,2,40,0,10,1,132,43,1,0,1,0,0,14,0,0,0,873
State,Tripura,73,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,7,0,88
State,Uttar Pradesh,2701,22,0,10,0,12,0,38,27,0,0,0,0,0,0,0,11,0,1,2,0,0,301,0,0,0,3065
State,Uttarakhand,290,0,0,0,0,0,0,198,143,1,33,0,0,0,0,21,0,19,0,0,6,0,9,4,0,0,526
State,West Bengal,1001,0,0,0,0,0,0,12,0,0,0,0,0,7,1,4,0,0,0,0,0,1,55,0,0,0,1069
State,TOTAL STATE(S),21476,47,5,13,1,24,4,6639,1994,35,790,393,182,115,34,2346,750,160,26,32,159,44,1883,44,27,104,30641
UT,A & N Islands,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,13
UT,Chandigarh,48,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12,19,18,0,2,10,0,1,2,0,0,112
UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UT,Delhi,1176,0,0,0,0,0,0,24,5,0,0,0,0,1,0,15,3,2,1,3,0,0,47,0,0,0,1253
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UT,TOTAL UT(S),1248,0,0,0,0,0,0,55,5,0,0,0,0,1,0,27,22,21,1,5,11,0,48,3,0,0,1392
TOTAL ALL INDIA,TOTAL ALL INDIA,22724,47,5,13,1,24,4,6694,1999,35,790,393,182,116,34,2373,772,181,27,37,170,44,1931,47,27,104,32033
